cutting_line_id,plate_id,seq_no
L1,P008438,381
L1,P005282,382
L1,P004839,383
L1,P000812,384
L1,P005132,385
L1,P005159,386
L1,P006311,387
L1,P000317,388
L1,P002613,389
L1,P004122,390
L1,P007607,391
L1,P003119,392
L1,P005975,393
L1,P008301,394
L1,P009131,395
L1,P006843,396
L1,P004846,397
L1,P005556,398
L1,P003573,399
L1,P004720,400
L1,P002498,401
L1,P002597,402
L1,P008636,403
L1,P002150,404
L1,P002607,405
L1,P000168,406
L1,P009952,407
L1,P006394,408
L1,P003860,409
L1,P009506,410
L1,P002541,411
L1,P004523,412
L1,P009062,413
L1,P007227,414
L1,P007190,415
L1,P002791,416
L1,P001434,417
L1,P004816,418
L1,P004533,419
L1,P000181,420
L1,P002893,421
L1,P002067,422
L1,P000929,423
L1,P006096,424
L1,P002789,425
L1,P003302,426
L1,P005806,427
L1,P009232,428
L1,P007630,429
L1,P004117,430
L1,P002310,431
L1,P002896,432
L1,P002808,433
L1,P007356,434
L1,P004869,435
L1,P005253,436
L1,P001764,437
L1,P004365,438
L1,P006317,439
L1,P007945,440
L1,P004109,441
L1,P000362,442
L1,P001042,443
L1,P004086,444
L1,P004912,445
L1,P004583,446
L1,P009015,447
L1,P007028,448
L1,P007729,449
L1,P003185,450
L1,P005205,451
L1,P007694,452
L1,P003610,453
L1,P006927,454
L1,P009371,455
L1,P000725,456
L1,P008397,457
L1,P004503,458
L1,P008869,459
L1,P009672,460
L1,P004587,461
L1,P000151,462
L1,P002258,463
L1,P004034,464
L1,P004985,465
L1,P005520,466
L1,P000403,467
L1,P002660,468
L1,P002809,469
L1,P008165,470
L1,P004124,471
L1,P006069,472
L1,P007473,473
L1,P004397,474
L1,P001477,475
L1,P009244,476
L1,P009682,477
L1,P000970,478
L1,P006778,479
L1,P000889,480
L1,P003991,481
L1,P001404,482
L1,P000085,483
L1,P008835,484
L1,P000288,485
L1,P008425,486
L1,P004191,487
L1,P006196,488
L1,P009164,489
L1,P003468,490
L1,P004197,491
L1,P002932,492
L1,P008765,493
L1,P008966,494
L1,P003584,495
L1,P009825,496
L1,P003596,497
L1,P002114,498
L1,P005391,499
L1,P003997,500
L1,P006634,501
L1,P000948,502
L1,P004827,503
L1,P004346,504
L1,P004630,505
L1,P001076,506
L1,P005614,507
L1,P004362,508
L1,P004278,509
L1,P007596,510
L1,P001274,511
L1,P002568,512
L1,P007792,513
L1,P006698,514
L1,P007880,515
L1,P000492,516
L1,P000937,517
L1,P005739,518
L1,P006768,519
L1,P002388,520
L1,P000792,521
L1,P003190,522
L1,P006579,523
L1,P002949,524
L1,P006900,525
L1,P006994,526
L1,P004578,527
L1,P009760,528
L1,P008870,529
L1,P000621,530
L1,P008988,531
L1,P005784,532
L1,P002095,533
L1,P005604,534
L1,P004310,535
L1,P001535,536
L1,P001041,537
L1,P007517,538
L1,P004080,539
L1,P008280,540
L1,P006957,541
L1,P009729,542
L1,P004251,543
L1,P007472,544
L1,P000624,545
L1,P001221,546
L1,P006348,547
L1,P006035,548
L1,P002198,549
L1,P008452,550
L1,P002794,551
L1,P007277,552
L1,P009301,553
L1,P008754,554
L1,P004037,555
L1,P000479,556
L1,P008033,557
L1,P002099,558
L1,P001534,559
L1,P009441,560
L1,P001616,561
L1,P003252,562
L1,P008122,563
L1,P007159,564
L1,P006895,565
L1,P008474,566
L1,P000255,567
L1,P001769,568
L1,P003901,569
L1,P001545,570
L1,P004614,571
L1,P000105,572
L1,P003524,573
L1,P009252,574
L1,P004475,575
L1,P007506,576
L1,P001986,577
L1,P004293,578
L1,P005947,579
L1,P002208,580
L1,P003606,581
L1,P006834,582
L1,P009656,583
L1,P001502,584
L1,P008516,585
L1,P004130,586
L1,P007053,587
L1,P007426,588
L1,P002731,589
L1,P007008,590
L1,P006251,591
L1,P005080,592
L1,P004722,593
L1,P004269,594
L1,P005382,595
L1,P005074,596
L1,P004443,597
L1,P005346,598
L1,P002303,599
L1,P006888,600
L1,P002675,601
L1,P007836,602
L1,P008110,603
L1,P000517,604
L1,P004520,605
L1,P002969,606
L1,P008719,607
L1,P000800,608
L1,P009087,609
L1,P005376,610
L1,P006699,611
L1,P004708,612
L1,P000425,613
L1,P003856,614
L1,P000675,615
L1,P002256,616
L1,P002611,617
L1,P002982,618
L1,P001209,619
L1,P001247,620
L1,P008612,621
L1,P006328,622
L1,P006968,623
L1,P005712,624
L1,P000687,625
L1,P001425,626
L1,P004947,627
L1,P007781,628
L1,P003391,629
L1,P006415,630
L1,P000949,631
L1,P001351,632
L1,P001053,633
L1,P000022,634
L1,P001840,635
L1,P009089,636
L1,P005029,637
L1,P008781,638
L1,P004336,639
L1,P002974,640
L1,P008155,641
L1,P008208,642
L1,P000193,643
L1,P003694,644
L1,P006879,645
L1,P000869,646
L1,P007036,647
L1,P003924,648
L1,P005620,649
L1,P008582,650
L1,P002774,651
L1,P001532,652
L1,P002468,653
L1,P009369,654
L1,P003354,655
L1,P006828,656
L1,P002610,657
L1,P007802,658
L1,P000277,659
L1,P007396,660
L1,P000927,661
L1,P003899,662
L1,P009364,663
L1,P000817,664
L1,P001759,665
L1,P001828,666
L1,P008052,667
L1,P002669,668
L1,P006476,669
L1,P003679,670
L1,P006449,671
L1,P001987,672
L1,P004898,673
L1,P008923,674
L1,P009225,675
L1,P003557,676
L1,P006162,677
L1,P003953,678
L1,P005204,679
L1,P000258,680
L1,P004829,681
L1,P002967,682
L1,P009372,683
L1,P009083,684
L1,P007827,685
L1,P004646,686
L1,P003587,687
L1,P009562,688
L1,P004767,689
L1,P004425,690
L1,P005191,691
L1,P007672,692
L1,P001795,693
L1,P004481,694
L1,P009519,695
L1,P006159,696
L1,P009182,697
L1,P003323,698
L1,P003019,699
L1,P004218,700
L1,P003922,701
L1,P004615,702
L1,P007469,703
L1,P007803,704
L1,P001832,705
L1,P007055,706
L1,P004528,707
L1,P001669,708
L1,P004353,709
L1,P006873,710
L1,P003564,711
L1,P004447,712
L1,P006896,713
L1,P001228,714
L1,P005856,715
L1,P009266,716
L1,P000318,717
L1,P002523,718
L1,P001479,719
L1,P005676,720
L1,P005912,721
L1,P005312,722
L1,P008959,723
L1,P008032,724
L1,P009223,725
L1,P003489,726
L1,P005392,727
L1,P008818,728
L1,P001919,729
L1,P009296,730
L1,P009545,731
L1,P000081,732
L1,P003516,733
L1,P000276,734
L1,P005455,735
L1,P006014,736
L1,P001442,737
L1,P005958,738
L1,P005182,739
L1,P009440,740
L1,P006388,741
L1,P001298,742
L1,P000510,743
L1,P005581,744
L1,P009964,745
L1,P003697,746
L1,P007302,747
L1,P001701,748
L1,P003710,749
L1,P004670,750
L1,P005161,751
L1,P009651,752
L1,P008740,753
L1,P009804,754
L1,P002065,755
L1,P006369,756
L1,P008887,757
L1,P006632,758
L1,P007617,759
L1,P002828,760
L1,P004151,761
L1,P009304,762
L1,P003433,763
L1,P001429,764
L1,P006343,765
L1,P001882,766
L1,P006942,767
L1,P008087,768
L1,P008209,769
L1,P004417,770
L1,P006101,771
L1,P000852,772
L1,P008240,773
L1,P006097,774
L1,P003335,775
L1,P005837,776
L1,P003870,777
L1,P002394,778
L1,P005647,779
L1,P009125,780
L1,P006446,781
L1,P007886,782
L1,P004283,783
L1,P006302,784
L1,P009922,785
L1,P006401,786
L1,P003643,787
L1,P005104,788
L1,P004179,789
L1,P009663,790
L1,P000478,791
L1,P008408,792
L1,P000206,793
L1,P004100,794
L1,P007737,795
L1,P003287,796
L1,P003771,797
L1,P008899,798
L1,P006326,799
L1,P006125,800
L1,P000707,801
L1,P006708,802
L1,P008807,803
L1,P000959,804
L1,P007345,805
L1,P001775,806
L1,P000814,807
L1,P001829,808
L1,P006306,809
L1,P005249,810
L1,P000629,811
L1,P008732,812
L1,P001065,813
L1,P008450,814
L1,P002426,815
L1,P007967,816
L1,P005903,817
L1,P005515,818
L1,P002996,819
L1,P003729,820
L1,P002586,821
L1,P007171,822
L1,P006059,823
L1,P007026,824
L1,P006463,825
L1,P005456,826
L1,P009306,827
L1,P000764,828
L1,P003283,829
L1,P001277,830
L1,P000760,831
L1,P003002,832
L1,P005962,833
L1,P004998,834
L1,P005841,835
L1,P007542,836
L1,P008080,837
L1,P000037,838
L1,P009587,839
L1,P007137,840
L1,P000344,841
L1,P005804,842
L1,P000405,843
L1,P006118,844
L1,P000670,845
L1,P000343,846
L1,P000884,847
L1,P004607,848
L1,P008101,849
L1,P006416,850
L1,P005606,851
L1,P007289,852
L1,P000034,853
L1,P009742,854
L1,P008307,855
L1,P000448,856
L1,P005588,857
L1,P001332,858
L1,P001585,859
L1,P001859,860
L1,P008547,861
L1,P003534,862
L1,P008221,863
L1,P006700,864
L1,P005757,865
L1,P005068,866
L1,P001048,867
L1,P006792,868
L1,P002313,869
L1,P007614,870
L1,P007511,871
L1,P004004,872
L1,P008093,873
L1,P009311,874
L1,P009705,875
L1,P007794,876
L1,P000227,877
L1,P008608,878
L1,P004966,879
L1,P003291,880
L1,P009634,881
L1,P007968,882
L1,P000708,883
L1,P003506,884
L1,P003179,885
L1,P005564,886
L1,P002714,887
L1,P001884,888
L1,P005578,889
L1,P000579,890
L1,P009525,891
L1,P002931,892
L1,P004340,893
L1,P008672,894
L1,P000546,895
L1,P003652,896
L1,P007668,897
L1,P009822,898
L1,P002195,899
L1,P007788,900
L1,P002299,901
L1,P003204,902
L1,P009590,903
L1,P007940,904
L1,P009350,905
L1,P001693,906
L1,P006308,907
L1,P005675,908
L1,P001687,909
L1,P005695,910
L1,P001767,911
L1,P000732,912
L1,P006127,913
L1,P006349,914
L1,P004819,915
L1,P007958,916
L1,P009303,917
L1,P006355,918
L1,P004539,919
L1,P000059,920
L1,P000348,921
L1,P001393,922
L1,P008192,923
L1,P005493,924
L1,P004746,925
L1,P001276,926
L1,P000583,927
L1,P001313,928
L1,P001624,929
L1,P006523,930
L1,P000299,931
L1,P004851,932
L1,P000285,933
L1,P002802,934
L1,P000189,935
L1,P000099,936
L1,P003973,937
L1,P001126,938
L1,P007439,939
L1,P007404,940
L1,P005974,941
L1,P001454,942
L1,P004763,943
L1,P009635,944
L1,P000511,945
L1,P006442,946
L1,P002360,947
L1,P000355,948
L1,P006921,949
L1,P008898,950
L1,P003096,951
L1,P009294,952
L1,P008916,953
L1,P003706,954
L1,P002511,955
L1,P008563,956
L1,P002006,957
L1,P008911,958
L1,P007591,959
L1,P001547,960
L1,P005193,961
L1,P000921,962
L1,P007726,963
L1,P009161,964
L1,P008483,965
L1,P001931,966
L1,P003016,967
L1,P005266,968
L1,P003801,969
L1,P000103,970
L1,P006552,971
L1,P009259,972
L1,P002562,973
L1,P000497,974
L1,P001529,975
L1,P009649,976
L1,P006797,977
L1,P006651,978
L1,P006556,979
L1,P006937,980
L1,P009826,981
L1,P009796,982
L1,P008008,983
L1,P000079,984
L1,P004176,985
L1,P008934,986
L1,P008886,987
L1,P008631,988
L1,P002542,989
L1,P006741,990
L1,P001075,991
L1,P004850,992
L1,P005738,993
L1,P001121,994
L1,P003006,995
L1,P006781,996
L1,P006647,997
L1,P009953,998
L1,P005541,999
L1,P005657,1000
L1,P001319,1001
L1,P007465,1002
L1,P009999,1003
L1,P000106,1004
L1,P004768,1005
L1,P009033,1006
L1,P006502,1007
L1,P003266,1008
L1,P008846,1009
L1,P005933,1010
L1,P008345,1011
L1,P004376,1012
L1,P005818,1013
L1,P000734,1014
L1,P004738,1015
L1,P009854,1016
L1,P009496,1017
L1,P004880,1018
L1,P003035,1019
L1,P000912,1020
L1,P005994,1021
L1,P009707,1022
L1,P008927,1023
L1,P007144,1024
L1,P009611,1025
L1,P000112,1026
L1,P007005,1027
L1,P008170,1028
L1,P003158,1029
L1,P008561,1030
L1,P001508,1031
L1,P003425,1032
L1,P006626,1033
L1,P002948,1034
L1,P004223,1035
L1,P006553,1036
L1,P008577,1037
L1,P008751,1038
L1,P007698,1039
L1,P001790,1040
L1,P000542,1041
L1,P006951,1042
L1,P007035,1043
L1,P002839,1044
L1,P008922,1045
L1,P009618,1046
L1,P009978,1047
L1,P000730,1048
L1,P004734,1049
L1,P006521,1050
L1,P006738,1051
L1,P001646,1052
L1,P002249,1053
L1,P001834,1054
L1,P000370,1055
L1,P002236,1056
L1,P005809,1057
L1,P008054,1058
L1,P001825,1059
L1,P000030,1060
L1,P000200,1061
L1,P004498,1062
L1,P005379,1063
L1,P008877,1064
L1,P007414,1065
L1,P000692,1066
L1,P006132,1067
L1,P009733,1068
L1,P001955,1069
L1,P003579,1070
L1,P002304,1071
L1,P001015,1072
L1,P005185,1073
L1,P006515,1074
L1,P009551,1075
L1,P002441,1076
L1,P005052,1077
L1,P008530,1078
L1,P004900,1079
L1,P004173,1080
L1,P007576,1081
L1,P009396,1082
L1,P000573,1083
L1,P001904,1084
L1,P003290,1085
L1,P004479,1086
L1,P003282,1087
L1,P008894,1088
L1,P002656,1089
L1,P000481,1090
L1,P004377,1091
L1,P004945,1092
L1,P002167,1093
L1,P006435,1094
L1,P006310,1095
L1,P009589,1096
L1,P004609,1097
L1,P000773,1098
L1,P009194,1099
L1,P004652,1100
L1,P006735,1101
L1,P006226,1102
L1,P002457,1103
L1,P002142,1104
L1,P009515,1105
L1,P009140,1106
L1,P006116,1107
L1,P008148,1108
L1,P000483,1109
L1,P008744,1110
L1,P008857,1111
L1,P003605,1112
L1,P009476,1113
L1,P002443,1114
L1,P008562,1115
L1,P007826,1116
L1,P007640,1117
L1,P005396,1118
L1,P009032,1119
L1,P004601,1120
L1,P003004,1121
L1,P007451,1122
L1,P001766,1123
L1,P009798,1124
L1,P001038,1125
L1,P003766,1126
L1,P007204,1127
L1,P004319,1128
L1,P003638,1129
L1,P007125,1130
L1,P000378,1131
L1,P007570,1132
L1,P008310,1133
L1,P004355,1134
L1,P002891,1135
L1,P006991,1136
L1,P007842,1137
L1,P009358,1138
L1,P003125,1139
L1,P000494,1140
L1,P005618,1141
L1,P003599,1142
L1,P004045,1143
L1,P009037,1144
L1,P003926,1145
L1,P008490,1146
L1,P005081,1147
L1,P006237,1148
L1,P000474,1149
L1,P000351,1150
L1,P001895,1151
L1,P005340,1152
L1,P008752,1153
L1,P001982,1154
L1,P009905,1155
L1,P000384,1156
L1,P000398,1157
L1,P007212,1158
L1,P006910,1159
L1,P009941,1160
L1,P007857,1161
L1,P002463,1162
L1,P009020,1163
L1,P008853,1164
L1,P007456,1165
L1,P003240,1166
L1,P005332,1167
L1,P000882,1168
L1,P007491,1169
L1,P003591,1170
L1,P004252,1171
L1,P008655,1172
L1,P000530,1173
L1,P002520,1174
L1,P003309,1175
L1,P001754,1176
L1,P003887,1177
L1,P003092,1178
L1,P001853,1179
L1,P003499,1180
L1,P002593,1181
L1,P000397,1182
L1,P006436,1183
L1,P009123,1184
L1,P008693,1185
L1,P003677,1186
L1,P005135,1187
L1,P009268,1188
L1,P002162,1189
L1,P001240,1190
L1,P004911,1191
L1,P006260,1192
L1,P001574,1193
L1,P002848,1194
L1,P007924,1195
L1,P008904,1196
L1,P008357,1197
L1,P002581,1198
L1,P009019,1199
L1,P000526,1200
L2,P002866,1
L2,P000218,2
L2,P001318,3
L2,P004706,4
L2,P008843,5
L2,P008184,6
L2,P001443,7
L2,P002174,8
L2,P000459,9
L2,P006093,10
L2,P005244,11
L2,P001949,12
L2,P001230,13
L2,P001224,14
L2,P004901,15
L2,P005291,16
L2,P004920,17
L2,P006529,18
L2,P009669,19
L2,P007872,20
L2,P009595,21
L2,P008402,22
L2,P000004,23
L2,P006013,24
L2,P001289,25
L2,P003514,26
L2,P005715,27
L2,P007819,28
L2,P006813,29
L2,P003581,30
L2,P007573,31
L2,P002083,32
L2,P005569,33
L2,P003786,34
L2,P000006,35
L2,P005265,36
L2,P009756,37
L2,P008327,38
L2,P004979,39
L2,P002543,40
L2,P005422,41
L2,P005028,42
L2,P002438,43
L2,P006078,44
L2,P009614,45
L2,P003641,46
L2,P008702,47
L2,P006384,48
L2,P005176,49
L2,P005168,50
L2,P008045,51
L2,P001798,52
L2,P004987,53
L2,P009578,54
L2,P008197,55
L2,P007538,56
L2,P004094,57
L2,P008207,58
L2,P003382,59
L2,P008174,60
L2,P004241,61
L2,P006992,62
L2,P003628,63
L2,P001139,64
L2,P002332,65
L2,P008657,66
L2,P006117,67
L2,P009044,68
L2,P008137,69
L2,P004341,70
L2,P005636,71
L2,P007559,72
L2,P004480,73
L2,P003944,74
L2,P000723,75
L2,P006949,76
L2,P006032,77
L2,P009077,78
L2,P000268,79
L2,P007558,80
L2,P008060,81
L2,P004605,82
L2,P008801,83
L2,P004729,84
L2,P002740,85
L2,P001136,86
L2,P008287,87
L2,P006490,88
L2,P004995,89
L2,P006424,90
L2,P000453,91
L2,P003644,92
L2,P002096,93
L2,P008792,94
L2,P007390,95
L2,P003198,96
L2,P004748,97
L2,P009214,98
L2,P006335,99
L2,P008219,100
L2,P003370,101
L2,P007508,102
L2,P006075,103
L2,P007327,104
L2,P003127,105
L2,P004666,106
L2,P004202,107
L2,P006122,108
L2,P002395,109
L2,P008463,110
L2,P000824,111
L2,P000799,112
L2,P007722,113
L2,P009120,114
L2,P007058,115
L2,P005336,116
L2,P001908,117
L2,P003090,118
L2,P003463,119
L2,P006824,120
L2,P001845,121
L2,P000655,122
L2,P007751,123
L2,P004685,124
L2,P003044,125
L2,P003274,126
L2,P001252,127
L2,P005627,128
L2,P006498,129
L2,P003892,130
L2,P007260,131
L2,P006658,132
L2,P007323,133
L2,P004078,134
L2,P004158,135
L2,P004121,136
L2,P003770,137
L2,P007680,138
L2,P007703,139
L2,P003452,140
L2,P003531,141
L2,P002710,142
L2,P007701,143
L2,P004719,144
L2,P004192,145
L2,P006322,146
L2,P004266,147
L2,P005199,148
L2,P004610,149
L2,P009280,150
L2,P008871,151
L2,P001591,152
L2,P006923,153
L2,P000777,154
L2,P003446,155
L2,P002073,156
L2,P000866,157
L2,P000810,158
L2,P003393,159
L2,P001357,160
L2,P001819,161
L2,P006494,162
L2,P005924,163
L2,P002818,164
L2,P007012,165
L2,P003855,166
L2,P006129,167
L2,P002685,168
L2,P003231,169
L2,P004600,170
L2,P009736,171
L2,P002228,172
L2,P006857,173
L2,P006608,174
L2,P001652,175
L2,P003749,176
L2,P007485,177
L2,P000364,178
L2,P004606,179
L2,P006920,180
L2,P006459,181
L2,P000622,182
L2,P009288,183
L2,P000107,184
L2,P004975,185
L2,P003965,186
L2,P008246,187
L2,P009591,188
L2,P004885,189
L2,P006461,190
L2,P008241,191
L2,P004949,192
L2,P006517,193
L2,P007820,194
L2,P006831,195
L2,P009888,196
L2,P005078,197
L2,P000808,198
L2,P001157,199
L2,P003216,200
L2,P002059,201
L2,P001860,202
L2,P003009,203
L2,P007366,204
L2,P002615,205
L2,P009897,206
L2,P005011,207
L2,P003080,208
L2,P005619,209
L2,P001147,210
L2,P004978,211
L2,P006728,212
L2,P005733,213
L2,P005259,214
L2,P005810,215
L2,P005040,216
L2,P000176,217
L2,P008772,218
L2,P005196,219
L2,P008524,220
L2,P008065,221
L2,P009569,222
L2,P005027,223
L2,P000550,224
L2,P004754,225
L2,P000419,226
L2,P004545,227
L2,P007470,228
L2,P009504,229
L2,P002906,230
L2,P006789,231
L2,P002494,232
L2,P000709,233
L2,P007496,234
L2,P007773,235
L2,P004399,236
L2,P007598,237
L2,P001102,238
L2,P008827,239
L2,P005039,240
L2,P006230,241
L2,P003367,242
L2,P005438,243
L2,P002787,244
L2,P005691,245
L2,P008941,246
L2,P001854,247
L2,P006780,248
L2,P000815,249
L2,P002871,250
L2,P008249,251
L2,P006670,252
L2,P005600,253
L2,P009365,254
L2,P007923,255
L2,P001149,256
L2,P002218,257
L2,P002386,258
L2,P006217,259
L2,P004154,260
L2,P004698,261
L2,P009653,262
L2,P004081,263
L2,P002609,264
L2,P002649,265
L2,P006304,266
L2,P007201,267
L2,P000587,268
L2,P003681,269
L2,P009460,270
L2,P001886,271
L2,P008285,272
L2,P007871,273
L2,P009413,274
L2,P007182,275
L2,P001878,276
L2,P000672,277
L2,P006164,278
L2,P004572,279
L2,P005576,280
L2,P006963,281
L2,P008179,282
L2,P008825,283
L2,P003060,284
L2,P000540,285
L2,P000933,286
L2,P007535,287
L2,P001424,288
L2,P007858,289
L2,P001849,290
L2,P004691,291
L2,P006854,292
L2,P009709,293
L2,P008220,294
L2,P003168,295
L2,P001761,296
L2,P001375,297
L2,P002833,298
L2,P007251,299
L2,P009218,300
L2,P002845,301
L2,P009666,302
L2,P009176,303
L2,P001226,304
L2,P006818,305
L2,P007661,306
L2,P007763,307
L2,P008963,308
L2,P002134,309
L2,P007577,310
L2,P009744,311
L2,P004275,312
L2,P000214,313
L2,P006783,314
L2,P002912,315
L2,P005607,316
L2,P009657,317
L2,P003050,318
L2,P008480,319
L2,P003069,320
L2,P005018,321
L2,P002419,322
L2,P004764,323
L2,P003545,324
L2,P001625,325
L2,P004868,326
L2,P003365,327
L2,P009975,328
L2,P009955,329
