plate_id,area,stack_id,level,thickness_mm,width_mm,length_mm,weight_ton,project_id,segment_id,status,eligible_lines
P000077,C,C-S064,1,16.0,2200.0,6000.0,1.599,PRJ023,SEG0553,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000078,D,D-S039,15,50.0,1800.0,10000.0,7.122,PRJ033,SEG0679,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000079,C,C-S110,7,14.0,2800.0,8000.0,2.442,PRJ036,SEG0431,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000080,C,C-S074,10,14.0,2800.0,12000.0,3.492,PRJ021,SEG0304,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000081,C,C-S020,21,20.0,2000.0,14000.0,4.29,PRJ035,SEG0490,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000082,A,A-S056,13,6.0,2000.0,16000.0,1.548,PRJ014,SEG0088,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000083,D,D-S063,5,8.0,2200.0,8000.0,1.187,PRJ042,SEG0050,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000084,C,C-S010,5,50.0,2500.0,10000.0,9.778,PRJ027,SEG0535,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000085,A,A-S032,2,30.0,1800.0,6000.0,2.643,PRJ017,SEG0679,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000086,D,D-S001,4,14.0,2000.0,16000.0,3.246,PRJ066,SEG0728,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000087,D,D-S118,17,20.0,2200.0,8000.0,2.699,PRJ071,SEG0672,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000088,C,C-S048,5,6.0,2800.0,9000.0,1.159,PRJ033,SEG0522,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000089,C,C-S049,9,8.0,2800.0,9000.0,1.474,PRJ031,SEG0290,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000090,A,A-S103,10,20.0,3000.0,6000.0,2.911,PRJ078,SEG0760,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000091,B,B-S065,13,40.0,2000.0,9000.0,6.03,PRJ070,SEG0776,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000092,D,D-S120,14,12.0,2000.0,6000.0,1.11,PRJ047,SEG0569,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000093,C,C-S047,5,8.0,3000.0,12000.0,2.345,PRJ063,SEG0446,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000094,A,A-S110,14,25.0,2500.0,10000.0,4.484,PRJ046,SEG0075,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000095,A,A-S052,14,40.0,1800.0,12000.0,6.188,PRJ034,SEG0229,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000096,D,D-S042,3,40.0,1500.0,9000.0,3.834,PRJ080,SEG0716,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000097,B,B-S102,17,16.0,2000.0,12000.0,3.023,PRJ014,SEG0102,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000098,A,A-S107,13,16.0,2000.0,6000.0,1.519,PRJ016,SEG0475,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000099,A,A-S105,11,12.0,2000.0,9000.0,1.816,PRJ007,SEG0738,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000100,A,A-S017,17,30.0,3000.0,8000.0,5.165,PRJ028,SEG0399,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000101,C,C-S088,18,18.0,2000.0,12000.0,3.303,PRJ047,SEG0559,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000102,A,A-S075,19,16.0,1800.0,6000.0,1.434,PRJ072,SEG0664,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000103,A,A-S119,11,50.0,2800.0,12000.0,12.065,PRJ010,SEG0193,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000104,A,A-S058,17,50.0,2000.0,12000.0,9.369,PRJ002,SEG0200,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000105,D,D-S103,16,30.0,2800.0,8000.0,4.813,PRJ072,SEG0527,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000106,C,C-S067,17,50.0,2500.0,8000.0,7.27,PRJ048,SEG0139,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000107,D,D-S114,15,16.0,2800.0,8000.0,2.84,PRJ072,SEG0183,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000108,C,C-S029,7,16.0,1500.0,9000.0,1.689,PRJ026,SEG0298,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000109,A,A-S090,13,20.0,2500.0,6000.0,2.144,PRJ060,SEG0336,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000110,C,C-S107,14,50.0,1500.0,12000.0,7.701,PRJ046,SEG0398,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000111,C,C-S009,8,16.0,3000.0,6000.0,2.276,PRJ057,SEG0561,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000112,C,C-S005,12,20.0,3000.0,12000.0,5.4,PRJ068,SEG0708,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000113,B,B-S075,16,20.0,1800.0,8000.0,2.101,PRJ065,SEG0088,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000114,B,B-S065,6,18.0,2200.0,6000.0,1.701,PRJ018,SEG0722,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000115,C,C-S026,1,6.0,2800.0,12000.0,1.471,PRJ034,SEG0515,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000116,C,C-S105,19,18.0,1500.0,16000.0,3.366,PRJ054,SEG0335,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000117,B,B-S029,8,18.0,3000.0,12000.0,5.446,PRJ008,SEG0526,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000118,B,B-S043,8,12.0,2800.0,8000.0,2.229,PRJ045,SEG0199,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000119,A,A-S116,7,50.0,2000.0,6000.0,4.566,PRJ047,SEG0186,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000120,B,B-S033,21,14.0,2200.0,8000.0,1.864,PRJ069,SEG0124,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000121,B,B-S037,5,14.0,2800.0,10000.0,3.023,PRJ043,SEG0299,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000122,C,C-S021,4,12.0,2200.0,12000.0,2.515,PRJ079,SEG0669,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000123,C,C-S033,19,18.0,2200.0,6000.0,1.789,PRJ062,SEG0151,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000124,A,A-S026,10,16.0,1800.0,12000.0,2.541,PRJ044,SEG0240,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000125,D,D-S117,11,12.0,3000.0,8000.0,2.412,PRJ060,SEG0148,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000126,D,D-S119,1,50.0,2800.0,14000.0,15.627,PRJ033,SEG0086,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000127,C,C-S097,19,8.0,2800.0,10000.0,1.733,PRJ078,SEG0784,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000128,D,D-S066,9,40.0,2500.0,10000.0,8.227,PRJ047,SEG0488,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000129,D,D-S042,2,16.0,1500.0,14000.0,2.413,PRJ052,SEG0793,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000130,D,D-S016,1,8.0,3000.0,9000.0,1.632,PRJ066,SEG0259,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000131,A,A-S075,12,6.0,1800.0,16000.0,1.256,PRJ066,SEG0244,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000132,C,C-S080,12,16.0,3000.0,10000.0,4.103,PRJ056,SEG0026,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000133,D,D-S086,18,10.0,1800.0,9000.0,1.367,PRJ079,SEG0276,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000134,D,D-S072,1,30.0,2000.0,10000.0,4.369,PRJ075,SEG0150,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000135,C,C-S060,4,40.0,2500.0,10000.0,7.496,PRJ016,SEG0288,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000136,D,D-S030,6,18.0,2500.0,12000.0,4.558,PRJ038,SEG0591,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000137,A,A-S042,19,40.0,2000.0,6000.0,4.017,PRJ027,SEG0664,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000138,B,B-S052,20,10.0,2500.0,16000.0,3.03,PRJ011,SEG0160,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000139,D,D-S003,18,20.0,2500.0,16000.0,6.68,PRJ027,SEG0386,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000140,D,D-S098,21,10.0,2500.0,9000.0,1.658,PRJ007,SEG0238,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000141,C,C-S006,9,12.0,2800.0,8000.0,1.913,PRJ011,SEG0726,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000142,D,D-S062,18,25.0,2200.0,9000.0,3.585,PRJ061,SEG0328,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000143,C,C-S037,14,18.0,2800.0,12000.0,4.308,PRJ065,SEG0565,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000144,A,A-S020,2,6.0,2200.0,14000.0,1.474,PRJ045,SEG0046,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000145,D,D-S073,21,14.0,1800.0,16000.0,3.44,PRJ049,SEG0618,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000146,A,A-S082,1,6.0,2500.0,14000.0,1.55,PRJ005,SEG0138,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000147,C,C-S027,16,50.0,3000.0,8000.0,10.342,PRJ065,SEG0018,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000148,A,A-S025,11,18.0,1500.0,16000.0,3.163,PRJ079,SEG0116,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000149,A,A-S008,21,25.0,2800.0,10000.0,5.519,PRJ002,SEG0420,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000150,A,A-S004,4,20.0,3000.0,16000.0,8.262,PRJ028,SEG0488,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000151,C,C-S034,14,8.0,1800.0,6000.0,0.666,PRJ010,SEG0601,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000152,B,B-S092,16,30.0,2200.0,8000.0,3.766,PRJ059,SEG0178,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000153,D,D-S023,9,18.0,2800.0,10000.0,4.049,PRJ055,SEG0589,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000154,B,B-S020,1,14.0,2200.0,14000.0,3.076,PRJ048,SEG0513,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000155,C,C-S023,6,30.0,3000.0,12000.0,8.648,PRJ034,SEG0506,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000156,D,D-S118,6,6.0,1500.0,8000.0,0.547,PRJ002,SEG0696,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000157,D,D-S001,2,20.0,3000.0,12000.0,5.994,PRJ059,SEG0405,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000158,B,B-S059,11,14.0,3000.0,10000.0,3.399,PRJ070,SEG0637,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000159,D,D-S114,11,12.0,1500.0,6000.0,0.804,PRJ078,SEG0100,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000160,C,C-S015,11,25.0,3000.0,8000.0,4.322,PRJ076,SEG0231,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000161,D,D-S038,10,8.0,1800.0,9000.0,1.069,PRJ053,SEG0611,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000162,D,D-S045,19,6.0,2500.0,9000.0,1.155,PRJ065,SEG0114,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000163,C,C-S070,2,25.0,2200.0,10000.0,4.047,PRJ024,SEG0707,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000164,B,B-S072,13,50.0,1500.0,16000.0,9.782,PRJ012,SEG0557,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000165,B,B-S048,9,20.0,2000.0,9000.0,2.599,PRJ012,SEG0540,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000166,C,C-S115,14,25.0,3000.0,14000.0,8.846,PRJ024,SEG0372,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000167,A,A-S035,19,50.0,2200.0,16000.0,12.993,PRJ019,SEG0481,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000168,D,D-S048,6,10.0,1800.0,9000.0,1.3,PRJ031,SEG0460,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000169,B,B-S058,19,18.0,2000.0,16000.0,4.853,PRJ051,SEG0014,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000170,A,A-S103,4,18.0,2200.0,8000.0,2.674,PRJ056,SEG0724,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000171,A,A-S065,17,20.0,2000.0,16000.0,5.187,PRJ064,SEG0790,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000172,C,C-S006,15,6.0,1800.0,9000.0,0.731,PRJ070,SEG0296,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000173,C,C-S011,17,10.0,1800.0,6000.0,0.779,PRJ046,SEG0157,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000174,C,C-S008,11,8.0,2500.0,8000.0,1.141,PRJ035,SEG0524,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000175,C,C-S086,9,16.0,1800.0,14000.0,3.043,PRJ057,SEG0573,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000176,B,B-S046,10,12.0,3000.0,12000.0,3.127,PRJ067,SEG0011,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000177,B,B-S096,6,40.0,2500.0,6000.0,4.997,PRJ058,SEG0317,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000178,B,B-S119,9,25.0,2800.0,12000.0,6.174,PRJ078,SEG0542,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000179,A,A-S059,20,10.0,2200.0,8000.0,1.267,PRJ020,SEG0065,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000180,B,B-S079,1,25.0,2200.0,6000.0,2.478,PRJ060,SEG0783,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000181,D,D-S021,2,25.0,2500.0,14000.0,6.211,PRJ068,SEG0285,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000182,C,C-S040,2,8.0,2500.0,16000.0,2.449,PRJ061,SEG0077,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000183,A,A-S103,9,25.0,2800.0,14000.0,7.157,PRJ062,SEG0165,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000184,C,C-S026,12,6.0,2000.0,14000.0,1.411,PRJ047,SEG0574,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000185,D,D-S075,6,6.0,3000.0,8000.0,1.063,PRJ005,SEG0714,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000186,D,D-S023,8,6.0,1800.0,8000.0,0.712,PRJ001,SEG0714,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000187,C,C-S078,11,8.0,1800.0,9000.0,0.979,PRJ065,SEG0483,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000188,A,A-S062,12,10.0,2000.0,10000.0,1.645,PRJ064,SEG0799,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000189,B,B-S033,14,25.0,3000.0,6000.0,3.3,PRJ009,SEG0241,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000190,D,D-S047,19,30.0,2800.0,12000.0,7.37,PRJ028,SEG0329,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000191,C,C-S057,16,8.0,1800.0,14000.0,1.486,PRJ079,SEG0025,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000192,D,D-S095,2,16.0,1500.0,16000.0,2.935,PRJ047,SEG0090,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
